,book_title,author,num_ratings,average_rating,5_star_reviews
239,Born a Crime: Stories From a South African Childhood,Trevor Noah,699423,4.49,435571
240,Kingdom of Ash,Sarah J. Maas,566523,4.69,434600
241,Kingdom of Ash,Sarah J. Maas,566434,4.69,434538
242,The Lost Hero,Rick Riordan,851457,4.30,434432
243,House of Earth and Blood,Sarah J. Maas,695835,4.49,433973
244,Book Lovers,Emily Henry,1077565,4.14,433156
245,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1267047,3.92,432225
246,Normal People,Sally Rooney,1407038,3.81,427895
247,Normal People,Sally Rooney,1406387,3.81,427710
248,The Pillars of the Earth,Ken Follett,766707,4.34,427630
249,The Stand,Stephen King,763943,4.35,426393
250,"Red, White & Royal Blue",Casey McQuiston,1002054,4.09,424612
251,The Final Empire,Brandon Sanderson,700491,4.48,423594
252,The Final Empire,Brandon Sanderson,700054,4.48,423308
253,The Girl Who Played with Fire,Stieg Larsson,925794,4.25,418951
254,Cinder,Marissa Meyer,929290,4.13,410693
255,Cinder,Marissa Meyer,929022,4.13,410591
256,Little Fires Everywhere,Celeste Ng,1182917,4.08,409139
257,Little Fires Everywhere,Celeste Ng,1182721,4.08,409072
258,Into the Wild,Jon Krakauer,1094786,4.01,408680
259,The Stranger,Albert Camus,1106379,4.02,408373
260,Man’s Search for Meaning,Viktor E. Frankl,720898,4.37,402369
261,American Gods,Neil Gaiman,936252,4.11,400286
262,American Gods,Neil Gaiman,936003,4.11,400199
263,Les Misérables,Victor Hugo,800123,4.20,398449
264,Jurassic Park,Michael Crichton,962490,4.10,398193
265,Jurassic Park,Michael Crichton,962285,4.10,398081
266,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,1131015,3.89,396505
267,City of Ashes,Cassandra Clare,937612,4.11,396165
268,A Walk to Remember,Nicholas Sparks,806863,4.20,393027
269,A Walk to Remember,Nicholas Sparks,806744,4.20,392975
270,The Night Circus,Erin Morgenstern,981088,4.02,391933
271,Red Queen,Victoria Aveyard,1018582,4.00,391638
272,When Breath Becomes Air,Paul Kalanithi,674985,4.40,387283
273,The Adventures of Huckleberry Finn,Mark Twain,1268383,3.83,387098
274,The Grapes of Wrath,John Steinbeck,910438,4.01,383690
275,The Grapes of Wrath,John Steinbeck,910225,4.01,383590
276,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,878018,4.17,383135
277,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,753491,4.26,380857
278,Una vita come tante,Hanya Yanagihara,635677,4.33,378522
279,A Little Life,Hanya Yanagihara,635342,4.33,378328
280,Charlie and the Chocolate Factory,Roald Dahl,854671,4.16,378316
281,A Little Life,Hanya Yanagihara,635218,4.33,378259
282,A Little Life,Hanya Yanagihara,635032,4.33,378154
283,The Wise Man’s Fear,Patrick Rothfuss,559713,4.55,378059
284,Beach Read,Emily Henry,1131882,4.01,377880
285,The Host,Stephenie Meyer,1008724,3.86,377332
286,Paper Towns,John Green,1364102,3.71,376233
287,El camino de los reyes,Brandon Sanderson,500807,4.66,373109
288,The Way of Kings,Brandon Sanderson,500546,4.66,372916
289,The Wicked King,Holly Black,770169,4.30,372189
290,Hamlet,William Shakespeare,957747,4.02,371782
291,The Mark of Athena,Rick Riordan,605477,4.47,371133
292,The Old Man and the Sea,Ernest Hemingway,1155560,3.80,370834
293,La casa sul mare celeste,T.J. Klune,641868,4.41,369179
294,The House in the Cerulean Sea,T.J. Klune,641377,4.41,368931
295,The Bell Jar,Sylvia Plath,973367,4.06,368618
296,The Bell Jar,Sylvia Plath,972841,4.06,368432
297,Fifty Shades Darker,E.L. James,913454,3.83,368347
298,Anna Karenina,Leo Tolstoy,852282,4.09,366231
299,Project Hail Mary,Andy Weir,580419,4.51,365104
300,Project Hail Mary,Andy Weir,579871,4.51,364806
301,The Queen of Nothing,Holly Black,693193,4.36,363656
302,Sharp Objects,Gillian Flynn,1050324,4.02,363456
303,Sharp Objects,Gillian Flynn,1049860,4.02,363288
304,The Boy in the Striped Pajamas,John Boyne,836533,4.16,362230
305,Things We Never Got Over,Lucy Score,783616,4.17,360991
306,To All the Boys I've Loved Before,Jenny Han,904159,4.04,360241
307,Bossypants,Tina Fey,1008448,3.96,358053
308,Bossypants,Tina Fey,1008297,3.96,358002
309,Fifty Shades Freed,E.L. James,859148,3.83,355584
310,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,744081,4.16,351751
311,The Goldfinch,Donna Tartt,930218,3.95,351711
312,The Road,Cormac McCarthy,910150,3.99,349972
313,The Deal,Elle Kennedy,735239,4.24,348125
314,The Deal,Elle Kennedy,734762,4.24,347931
315,The Odyssey,Homer,1086314,3.81,347665
316,Emma,Jane Austen,890600,4.05,347657
317,Dio di illusioni,Donna Tartt,754393,4.17,346174
318,The Secret History,Donna Tartt,753999,4.17,346009
319,The Secret History,Donna Tartt,753873,4.17,345951
320,Outliers: The Story of Success,Malcolm Gladwell,790308,4.19,345525
321,A Christmas Carol,Charles Dickens,843850,4.08,343568
322,Th1rteen R3asons Why,Jay Asher,973520,3.85,342623
323,La metamorfosis,Franz Kafka,1070188,3.87,342261
324,The Metamorphosis,Franz Kafka,1069705,3.87,342111
325,A Dance with Dragons,George R.R. Martin,654953,4.34,340429
326,The Color Purple,Alice Walker,689768,4.27,338756
