genre,genre_id
"Fiction, Portugal, Magical Realism, Literature, Portuguese Literature, Nobel Prize, Novels",210
"Fiction, Portugal, Portuguese Literature, Classics, Historical Fiction, Literature, Nobel Prize",211
"Poetry, Philosophy, Fiction, Classics, Short Stories, Literature, Spirituality",212
"Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature",213
"Africa, Nonfiction, Nigeria, Memoir, African Literature, Nobel Prize, Autobiography",214
"Business, Nonfiction, Economics, Technology, Internet, Entrepreneurship, Management",215
"Nonfiction, Business, Psychology, Self Help, Sociology, Science, Economics",216
"Classics, Fiction, Literature, Historical Fiction, School, Novels, 19th Century",217
"Classics, Fiction, Historical Fiction, School, Literature, Young Adult, Historical",218
"Fiction, Classics, Literature, Novels, New York, Contemporary, Literary Fiction",219
"Classics, Fiction, Humor, Essays, Literature, Philosophy, 18th Century",220
"Classics, Fiction, Fantasy, Literature, Humor, Adventure, English Literature",221
"Classics, Fiction, Poetry, Literature, School, Short Stories, Historical Fiction",222
"Fiction, Historical Fiction, LGBT, Queer, France, Historical, Food",223
"Fiction, Historical Fiction, Novels, Literature, Classics, Historical, Politics",224
"Fiction, Science Fiction, Alternate History, Historical Fiction, Fantasy, Historical, Speculative Fiction",225
"Nonfiction, Memoir, Biography, Autobiography, Psychology, Abuse, True Story",226
"Fantasy, Fiction, Urban Fantasy, Mythology, Audiobook, Science Fiction Fantasy, Humor",227
"Fiction, Humor, Contemporary, Canada, Novels, Literature, Technology",228
"Philosophy, Psychology, Nonfiction, Death, Self Help, Science, Sociology",229
"History, Nonfiction, Politics, American History, Historical, Social Justice, Classics",230
"Art, Nonfiction, Philosophy, Essays, Design, Art History, Photography",231
"Fiction, Classics, Literature, Novels, American, Mystery, Literary Fiction",232
"Fiction, Young Adult, Classics, Fantasy, Childrens, Middle Grade, Realistic Fiction",233
"Historical Fiction, Fiction, Historical, Classics, Art, Romance, Adult",234
"Historical Fiction, Fiction, Historical, British Literature, Adult Fiction, Novels, Audiobook",235
"Historical Fiction, Fiction, Historical, France, Art, Mystery, Romance",236
"Manga, Fantasy, Graphic Novels, Fiction, Young Adult, Comics Manga, Action",237
"Fiction, Classics, German Literature, Novels, Short Stories, Germany, Literature",238
"Fiction, German Literature, Germany, Classics, Contemporary, Novels, Literature",239
"Nonfiction, Memoir, Adventure, Animals, Dogs, Sports, Biography",240
"Fiction, Classics, Adventure, Literature, Historical Fiction, Novels, 18th Century",241
"Fiction, Classics, Historical Fiction, Literature, Young Adult, Adventure, School",242
"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Fantasy",243
"Economics, Nonfiction, Business, Politics, Finance, Philosophy, History",244
"Politics, Nonfiction, History, Economics, Sociology, Race, Philosophy",245
"Classics, Poetry, Fantasy, Fiction, Medieval, School, Mythology",246
"Fiction, Historical Fiction, Classics, Jewish, Russia, Literature, Novels",247
"Classics, Fiction, Italy, Historical Fiction, Romance, Audiobook, British Literature",248
"Classics, Fiction, Romance, Historical Fiction, Italy, Literature, British Literature",249
"Classics, Fiction, LGBT, Queer, Romance, Gay, Historical Fiction",250
"Nonfiction, Food, Science, Health, History, Nutrition, Environment",251
"Nonfiction, History, Humor, Travel, Essays, Audiobook, Memoir",252
"Fiction, Historical Fiction, Classics, Literature, Nobel Prize, Historical, Novels",253
"Historical Fiction, Fiction, Historical, Book Club, Adult, Adult Fiction, Audiobook",254
"Philosophy, Science, Nonfiction, Psychology, Neuroscience, Biology, College",255
"Historical Fiction, Fiction, Historical, Romance, Spanish Literature, Magical Realism, Novels",256
"Fantasy, Young Adult, Fiction, Adventure, Magical Realism, Spanish Literature, Novels",257
"Fiction, Contemporary, Canada, Novels, Literature, Literary Fiction, Classics",258
"Fiction, Canada, Contemporary, Humor, Novels, Literary Fiction, Literature",259
"Fiction, Canada, Contemporary, Novels, Literary Fiction, Young Adult, Literature",260
"Fiction, Canada, Science Fiction, Contemporary, Novels, Dystopia, Fantasy",261
"Fiction, Historical Fiction, Romance, Classics, War, Greece, Historical",262
"Fiction, Magical Realism, Humor, Contemporary, Historical Fiction, Latin American, Literary Fiction",263
"Historical Fiction, Fiction, War, Historical, Literature, Novels, Contemporary",264
