,book_title,author,num_ratings,average_rating,5_star_reviews,book_author
119,Gone with the Wind,Margaret Mitchell,1210196,4.31,686376,Gone with the Wind - Margaret Mitchell
120,And Then There Were None,Agatha Christie,1367069,4.28,684456,And Then There Were None - Agatha Christie
121,Brave New World,Aldous Huxley,1864954,3.99,680160,Brave New World - Aldous Huxley
122,Wuthering Heights,Emily Brontë,1815596,3.89,668998,Wuthering Heights - Emily Brontë
123,Daisy Jones & The Six,Taylor Jenkins Reid,1508371,4.21,666475,Daisy Jones & The Six - Taylor Jenkins Reid
124,Daisy Jones & The Six,Taylor Jenkins Reid,1507363,4.21,666039,Daisy Jones & The Six - Taylor Jenkins Reid
125,The Last Olympian,Rick Riordan,1011488,4.55,664785,The Last Olympian - Rick Riordan
126,The Name of the Wind,Patrick Rothfuss,967627,4.52,659002,The Name of the Wind - Patrick Rothfuss
127,Water for Elephants,Sara Gruen,1619998,4.11,654619,Water for Elephants - Sara Gruen
128,Becoming,Michelle Obama,1055430,4.46,648474,Becoming - Michelle Obama
129,Lessons in Chemistry,Bonnie Garmus,1272280,4.30,647010,Lessons in Chemistry - Bonnie Garmus
130,The Martian,Andy Weir,1128372,4.42,642856,The Martian - Andy Weir
131,The Picture of Dorian Gray,Oscar Wilde,1548189,4.12,639671,The Picture of Dorian Gray - Oscar Wilde
132,The Picture of Dorian Gray,Oscar Wilde,1547611,4.12,639455,The Picture of Dorian Gray - Oscar Wilde
133,Breaking Dawn,Stephenie Meyer,1715096,3.74,636615,Breaking Dawn - Stephenie Meyer
134,The Midnight Library,Matt Haig,1800750,4.00,635324,The Midnight Library - Matt Haig
135,The Midnight Library,Matt Haig,1799720,4.00,634970,The Midnight Library - Matt Haig
136,Northern Lights,Philip Pullman,1530690,4.02,627988,Northern Lights - Philip Pullman
137,The Golden Compass,Philip Pullman,1530370,4.02,627834,The Golden Compass - Philip Pullman
138,The Glass Castle,Jeannette Walls,1220071,4.32,627401,The Glass Castle - Jeannette Walls
139,Eclipse,Stephenie Meyer,1818989,3.73,623079,Eclipse - Stephenie Meyer
140,The Return of the King,J.R.R. Tolkien,910164,4.56,616737,The Return of the King - J.R.R. Tolkien
141,The Return of the King,J.R.R. Tolkien,910015,4.56,616614,The Return of the King - J.R.R. Tolkien
142,The Return of the King,J.R.R. Tolkien,909923,4.56,616554,The Return of the King - J.R.R. Tolkien
143,Wonder,R.J. Palacio,1091523,4.37,615043,Wonder - R.J. Palacio
144,Looking for Alaska,John Green,1607282,3.97,614257,Looking for Alaska - John Green
145,Looking for Alaska,John Green,1606933,3.97,614152,Looking for Alaska - John Green
146,The Battle of the Labyrinth,Rick Riordan,1090643,4.42,613630,The Battle of the Labyrinth - Rick Riordan
147,The Battle of the Labyrinth,Rick Riordan,1090494,4.42,613548,The Battle of the Labyrinth - Rick Riordan
